Format Version,1.23,Take Name,IR_018,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-11-26 11.52.01.406 下午,Total Frames in Take,8372,Total Exported Frames,8372,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003
,ID,"980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.009454,0.965264,-0.002432,-0.261095,-2.434795,1.111449,-0.036441,0.000061,-0.016269,-0.000012,-0.999868,-0.091791,1.177495,-2.274128
1,0.008333,-0.009640,0.965053,-0.002594,-0.261866,-2.434849,1.111368,-0.036311,0.000171,-0.016305,-0.000036,-0.999867,-0.091798,1.177497,-2.274123
2,0.016667,-0.009837,0.965036,-0.002579,-0.261920,-2.434753,1.111380,-0.036337,0.000265,-0.016308,-0.000043,-0.999867,-0.091796,1.177495,-2.274117
3,0.025000,-0.009666,0.965033,-0.002604,-0.261938,-2.434834,1.111362,-0.036316,0.000210,-0.016309,-0.000053,-0.999867,-0.091798,1.177495,-2.274117
4,0.033333,-0.009737,0.965036,-0.002585,-0.261925,-2.434805,1.111365,-0.036328,0.000209,-0.016215,0.000004,-0.999869,-0.091803,1.177486,-2.274074
5,0.041667,-0.009658,0.965040,-0.002570,-0.261910,-2.434854,1.111365,-0.036321,-0.000036,-0.016340,0.000013,-0.999866,-0.091809,1.177482,-2.274181
6,0.050000,-0.009831,0.965049,-0.002587,-0.261872,-2.434755,1.111377,-0.036340,0.000133,-0.016257,0.000009,-0.999868,-0.091797,1.177484,-2.274118
7,0.058333,-0.009691,0.965056,-0.002533,-0.261853,-2.434822,1.111368,-0.036346,0.000162,-0.016300,0.000020,-0.999867,-0.091786,1.177485,-2.274130
8,0.066667,-0.009741,0.965043,-0.002552,-0.261897,-2.434811,1.111361,-0.036338,0.000111,-0.016258,-0.000008,-0.999868,-0.091798,1.177494,-2.274125
9,0.075000,-0.009386,0.965249,-0.002444,-0.261154,-2.434844,1.111449,-0.036416,0.000085,-0.016334,0.000005,-0.999867,-0.091805,1.177489,-2.274176
10,0.083333,-0.009697,0.965038,-0.002565,-0.261919,-2.434826,1.111360,-0.036325,0.000199,-0.016299,-0.000024,-0.999867,-0.091797,1.177495,-2.274124
11,0.091667,-0.009725,0.965054,-0.002565,-0.261859,-2.434811,1.111355,-0.036319,0.000004,-0.016290,-0.000012,-0.999867,-0.091799,1.177488,-2.274139
12,0.100000,-0.009669,0.965062,-0.002515,-0.261830,-2.434847,1.111363,-0.036344,0.000160,-0.016280,-0.000008,-0.999868,-0.091800,1.177495,-2.274125
13,0.108333,-0.009682,0.965057,-0.002554,-0.261849,-2.434835,1.111356,-0.036329,0.000151,-0.016278,-0.000012,-0.999867,-0.091799,1.177493,-2.274121
14,0.116667,-0.009698,0.965043,-0.002543,-0.261901,-2.434822,1.111359,-0.036342,0.000176,-0.016304,-0.000013,-0.999867,-0.091805,1.177496,-2.274132
15,0.125000,,,,,,,,,,,,,,
16,0.133333,-0.009571,0.965050,-0.002542,-0.261878,-2.434898,1.111344,-0.036312,0.000206,-0.016301,-0.000008,-0.999867,-0.091809,1.177476,-2.274118
